1	Elpesi ugiiqani, kiyaghtek qaatkullusi ugigpesinun. Ilangi nuliilget ugpeqingigalnguugut Kiyaghneghem akuzitanganeng. Iwernga tawaten kiyaghtelleghpesigun ugpeqaaghhnayukata sameng pinghiteghngaaghpesiki,
2	qayughllak esghapakangat pelungitun kiyaghtaalleghsi, alikilleghsillu Kiyaghneghmun.
3	Nuyaqegsallghem, ullngaqellghem gold-meng, aarrallghem pinighnaghsiigatii ilusi.
4	Itupill pinighnaghtek ilugpesigun qusevegllelighlusi, nekeggmellelighlusillu. Tawatelnguq pinighnalleq quunpekaghqaaguq, megnunaghllagtuq Kiyaghneghmun.
5	Sivunghani agani, aghnat maniguutkayuget Kiyaghneghmun pinighnaghsaqayuguut ilumegteggun, qusevegllelighluteng, nekeggmellelighlutengllu. Neghyukegkaqaat Kiyaghneq, qaatkegkaqiitlu ugiteng.
6	Sarah tawatetkaaguq! Qaatkegkaqaa Abraham, atanqennikaqaallu. Enkaam elpesi panikiisi pinitun pimakufsi, alingigalkufsillu sameng alngunak.
7	Elpesillu nulightuqani kiyaghuteki nuliisi liigikluki natetulangi qayughllak kayaataghaghtut elpesineng. Quulvaghluki nuliisi qayughllak atunem allgeghsaghqaqaghsi Kiyaghneghem tunusaa kenlengilnguq unguvalleq. Tawaten pikufsi saam alngunak pillgilliqnaanghitii yughallesi.
8	Taaqnighnaqanka sameng pillghenka whaten: qamagllusi ataasistun sumeghnelgutek, aqniqututek, piniqutek anglegutkullghiistun, nangllekututek, qusevgututek.
9	Yuget seghletun pikangisi akitegpenaki seghletun, nalighmeng seghlequuqangisi akitegpenaki seghlequughmeng. Itupill akiteki quyastelleghmeng, qayughllak Kiyaghneghem nakmikegkaqiisi tawaten pisqellusi elpesinun allgeghtesqelluku quyastilleni.
10	Akuzitet Igaqegkat pillghistun, “Kina alngunak quyangalghiimeng unguvallelguyukumi, quyamalghiinengllu aghnelguyukumi, seghletun akuzineghmeng taaqli, iqlengiqnanighlillu.
11	Seghletun pinanighluni, pinitun pili. Nekeggmennaqlunillu kiyaghlli,
12	qayughllak Atanghem esghapawii elqughutngalghiit, nagataqiillu yughallghit. Iwernga Atanghem tengvimun ayuqii seghletun pilghiit.”
13	Kitumngam aqnighlleqisi sagiqngukufsi pinitun pilleghmun?
14	Iwernga ikfiqeghngaaghpesi pinitun pilleghmun quyastellengellequsi. Alikegpenaki yuget, talwa sumeghyaligpenasi.
15	Iwernga ilugpesigun manigughaqiteggu Christ-a Atanghuluku. Kitum alngunak aaptekangisi sighimalleghmeng ilugpesinilngughmeng quunpeng liigiknatun kiimsighyaqleggiinaawaqiteki.
16	Iwernga kiimsighaqiteki qusevegllelighlusi, siivakillelighlusi. Seghleghqenghilkufsi umyugasi seghleghninaanghitut. Enkaam yuget seghlequuqangisi pinitun kiyaghtelleghpesineng Christ-akun, kaynguyugllequt tawaten akuzilleghmeggneng.
17	Iwernga Kiyaghneghem piyukelqengngukagu ikfiqesqellusi pinitun pilleghmun, taana itagnaghataghaghtuq ikfiqelleghqaghpesineng seghletun pilleghmun.
18	Christ-a tuqukaaguq ataasighhaghmeng apalluqluki yuget seghleghqellghit. Seghleghqumangituq, iwernga tuqumatkegkaqii seghleghqestet taginnaluki Kiyaghneghmun. Yugusii tuqutkaaguq iwernga taghneghakek unguvaghtekaaguk.
19	Enkaam taghneghaaluni ungipaghyaghtuqaaguq taghneghanun anusimingllaghvigmelngughnun.
20	Taakunguut qaatkusimangilnguut Kiyaghneghmun neghighluku Noah kiyaghtengnguluku. Noah ark-engllaaluku Kiyaghneq qelaneghpenani utaqiikaaguq qaatkusimangilngughnun avuteghqesqelluki. Pingayuneng inglullgiinaat yuget iteghluteng ark-mun yugulikaagut meghqun.
21	Taananguuq meq usputaq paaptaayelleghmun yugulighilghii elpesineng maaten unguvaghtellghakun Jesus Christ. Paaptaayelleq iqangiisiinghituq yugusimun. Itupill paaptaayelleghqun akeqiikut Kiyaghneghmun umyugamnneng seghleghningilngughmeng.
22	Jesus Christ-a qilagmun mayughluni aghenqigneghanituq Kiyaghneghem. Enkaam igleghutngwii qamaglluki yaqulget, qilagem igleghutistengi, aghtughyaghqaanghillghetlu.
 
